2018-08-30 12:14:39.072 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 7728 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 12:14:39.132 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 12:15:15.141 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 37.781 seconds (JVM running for 45.46)
2018-08-30 14:57:09.766 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 11808 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 14:57:11.069 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 14:58:37.094 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 101.119 seconds (JVM running for 151.702)
2018-08-30 15:04:14.642 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 11464 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 15:04:14.646 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 15:04:34.612 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 21.466 seconds (JVM running for 36.979)
2018-08-30 15:09:12.972 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 1236 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 15:09:13.005 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
